nameWithOwner,url,releases,createdAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs,totalFiles,stars
byt3bl33d3r/CrackMapExec,https://github.com/byt3bl33d3r/CrackMapExec.git,24,2015-08-14,8841,6377,82,0,10,1,0,X,55.25267215800261,A,67.97737335412072,A,2.2,174.2350916969552,9.679727316497512,0.03143195429236667,93,3766
byt3bl33d3r/MITMf,https://github.com/byt3bl33d3r/MITMf.git,10,2014-07-07,7476,4860,51,21,7,0,0,X,74.2853607341219,A,74.74658408989274,A,1.8,105.15890002115393,5.8421611122863295,0.01850219859070546,79,2989
carltongibson/django-filter,https://github.com/carltongibson/django-filter.git,19,2009-01-30,10714,7514,39,0,1,0,0,X,64.74726792786996,A,68.22262325533258,A,1.0,18.575424759098897,1.0319680421721609,0.005169925001442312,40,3059
celery/celery,https://github.com/celery/celery.git,9,2009-04-24,61852,43475,318,0,23,13,0,X,54.39863418881937,A,58.310367542795234,A,2.0,168.88551277684326,9.382528487602404,0.03129616994056038,354,15285
certbot/certbot,https://github.com/certbot/certbot.git,7,2014-11-12,68772,41437,353,0,4,2,0,X,67.11342589091021,A,69.76512532098393,A,1.5,43.18506523353572,2.399170290751984,0.012180403014586996,359,26862
chrippa/livestreamer,https://github.com/chrippa/livestreamer.git,24,2011-08-15,19511,14055,155,1,5,1,0,X,58.76349574242501,A,61.955397301529956,A,1.25,42.11032383086406,2.3394624350480036,0.009357849740192013,162,3760
chriskiehl/Gooey,https://github.com/chriskiehl/Gooey.git,3,2014-01-01,6264,4057,93,0,11,0,0,X,74.17383745932607,A,82.87517586014691,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,104,8924
chrissimpkins/codeface,https://github.com/chrissimpkins/codeface.git,2,2015-06-13,1367,920,15,0,3,0,0,X,82.30615394376346,A,82.30615394376346,A,1.7142857142857142,294.6666666666667,16.37037037037037,0.034666666666666665,18,5271
chrissimpkins/Crunch,https://github.com/chrissimpkins/Crunch.git,14,2016-04-10,1947,1246,7,0,1,0,0,X,68.31853437974253,A,68.31853437974253,A,3.0,925.8355845585663,51.43531025325368,0.09745637732195435,8,2889
christabor/flask_jsondash,https://github.com/christabor/flask_jsondash.git,6,2016-02-18,4870,3589,35,0,5,0,0,X,56.04668893091997,A,57.66714255884416,A,1.5,135.6923076923077,7.538461538461539,0.03752932501298081,40,3057
chyroc/WechatSogou,https://github.com/chyroc/WechatSogou.git,7,2016-05-09,2675,1623,21,0,0,0,0,X,70.41855098876711,A,75.10860823706722,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,21,4583
cloudtools/troposphere,https://github.com/cloudtools/troposphere.git,53,2012-12-12,37559,29114,254,0,2,0,0,X,100.0,A,100.0,A,0.0,0.0,0.0,0.0,256,4175
coala/coala,https://github.com/coala/coala.git,17,2014-05-15,43285,27467,327,2,37,0,0,X,74.98292578835641,A,87.54675514252027,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,366,3018
