nameWithOwner;tag;typeRelease;isFirstRow(bool);isNotaMax(bool);isLOCchanged(bool);isMetricChanged(bool);qtDias;porcValF(%);deltaLOC(qtd);deltaSLOC(qtd);deltaMIF(%);deltaMIT(%);deltaDiff(%);deltaEff(%);deltaTimeH(%);deltaBug(%);deltaFiles(qtd);totalFiles(qtd)
aio-libs/aiohttp;v0.17.1;VR;0;0;1;0;6;82,4;2;1;0,0;0,0;0,0;0,0;0,0;0,0;0;74
aio-libs/aiohttp;v0.17.2;VR;0;0;0;0;1;82,4;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;74
aio-libs/aiohttp;v0.17.3;VR;0;0;1;0;17;82,4;28;27;0,0;0,0;0,0;0,0;0,0;0,0;0;74
aio-libs/aiohttp;v0.17.4;VR;0;0;1;0;32;82,4;3;2;-0,13;0,0;0,0;0,0;0,0;0,0;0;74
aio-libs/aiohttp;v0.18.0;VR;0;0;1;1;20;85,9;2518;1647;-0,34;-6,47;0,0;96,5;96,5;150,52;11;85
aio-libs/aiohttp;v0.18.1;VR;0;0;1;0;1;85,9;8;7;0,0;0,0;0,0;0,0;0,0;0,0;0;85
aio-libs/aiohttp;v0.18.2;VR;0;0;1;0;2;85,9;2;1;0,0;0,0;0,0;0,0;0,0;0,0;0;85
aio-libs/aiohttp;v0.18.3;VR;0;0;1;0;3;85,9;41;30;0,0;0,0;0,0;0,0;0,0;0,0;0;85
aio-libs/aiohttp;v0.18.4;VR;0;0;0;0;19;85,9;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;85
aio-libs/aiohttp;v0.19.0;VR;0;0;1;1;12;90,2;1631;1262;0,64;2,51;0,0;1,56;1,56;0,0;7;92
aio-libs/aiohttp;v0.20.0;VR;0;0;1;1;33;90,5;751;545;2,98;-2,93;0,0;0,23;0,23;1,09;3;95
aio-libs/aiohttp;v0.20.1;VR;0;0;1;1;2;90,5;43;36;0,0;0,0;0,0;0,0;0,0;6,33;0;95
aio-libs/aiohttp;v0.20.2;VR;0;0;1;1;8;90,6;84;28;-2,09;-0,02;0,0;-0,23;-0,23;-6,97;1;96
aio-libs/aiohttp;v0.21.0;VR;0;0;1;1;28;91,6;1391;1026;9,32;7,65;-14,72;-12,12;-12,12;-37,63;11;107
aio-libs/aiohttp;v0.21.1;VR;0;0;0;1;12;90,7;-794;-562;0,6;0,17;-0,51;-1,0;-1,0;-2,69;0;107
aio-libs/aiohttp;v0.21.2;VR;0;0;1;1;0;90,7;26;22;-1,19;-0,34;1,02;0,0;0,0;0,0;0;107
aio-libs/aiohttp;v0.21.4;VR;0;0;1;0;25;90,7;31;25;0,0;0,0;0,0;0,0;0,0;0,0;0;107
aio-libs/aiohttp;4v0.21.6;VR;0;0;0;1;54;91,1;-710;-472;3,51;1,3;-2,78;-32,84;-32,84;-24,67;5;112
aio-libs/aiohttp;v0.22.0;VR;0;0;1;1;71;92,4;2344;1572;-0,84;-0,33;0,0;11,61;11,61;4,8;6;118
aio-libs/aiohttp;v0.22.1;VR;0;0;0;0;1;92,4;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;118
aio-libs/aiohttp;v0.22.2;VR;0;0;1;0;7;92,4;12;9;0,0;0,0;0,0;0,0;0,0;0,0;0;118
aio-libs/aiohttp;v0.22.3;VR;0;0;1;0;3;92,4;43;29;0,0;0,0;0,0;0,0;0,0;0,0;0;118
aio-libs/aiohttp;v0.22.4;VR;0;0;0;0;2;92,4;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;118
aio-libs/aiohttp;v0.22.5;VR;0;0;0;0;5;92,4;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;118
aio-libs/aiohttp;v1.0.0;VR;0;0;1;1;45;94,4;1782;1102;-0,33;0,27;20,0;50,99;50,99;26,67;6;124
aio-libs/aiohttp;v1.0.1;VR;0;0;1;1;0;94,4;39;21;0,35;0,19;-2,38;-4,49;-4,49;-7,77;1;125
aio-libs/aiohttp;v1.0.2;VR;0;0;0;1;6;94,4;-48;-44;0,0;-0,11;-7,32;0,0;0,0;0,0;0;125
aio-libs/aiohttp;v1.0.4;VR;0;0;1;1;12;94,4;80;67;-0,71;-0,52;7,89;4,71;4,71;11,43;0;125
aio-libs/aiohttp;v1.0.5;VR;0;0;1;0;7;94,4;32;23;0,0;0,0;0,0;0,0;0,0;0,0;0;125
aio-libs/aiohttp;v1.1.0;VR;0;0;0;1;23;91,9;-1807;-1409;0,61;0,87;10,98;11,51;11,51;36,75;-1;124
aio-libs/aiohttp;v1.1.1;VR;0;0;0;0;1;91,9;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;124
aio-libs/aiohttp;v1.1.2;VR;0;0;1;0;4;91,9;53;44;0,0;0,0;0,0;0,0;0,0;0,0;0;124
aio-libs/aiohttp;v1.1.3;VR;0;0;0;0;2;91,9;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;124
aio-libs/aiohttp;v1.1.4;VR;0;0;0;0;4;91,9;-17;-18;0,0;0,0;0,0;0,0;0,0;0,0;0;124
aio-libs/aiohttp;v1.2.0;VR;0;0;1;1;33;92,2;1476;1059;-2,0;-0,95;0,0;11,44;11,44;-4,27;4;128
aio-libs/aiohttp;1.3.0;VR;0;0;1;1;53;91,5;432;216;0,72;0,7;7,69;2,26;2,26;-1,08;2;130
aio-libs/aiohttp;1.3.1;VR;0;0;1;0;1;91,5;33;25;0,0;0,0;0,0;0,0;0,0;0,0;0;130
aio-libs/aiohttp;1.3.2;VR;0;0;1;0;7;91,5;74;54;0,0;0,0;0,0;0,0;0,0;0,0;0;130
aio-libs/aiohttp;1.3.3;VR;0;0;0;0;4;91,5;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;130
aio-libs/aiohttp;1.3.4;VR;0;0;1;0;23;91,5;29;23;0,0;0,0;0,0;0,0;0,0;0,0;0;130
