nameWithOwner;createdAt;countNV;countNM;countNF;countVR;totRel(qtd);countMetChange;countNotaMax;porcValF(%)(med);qtDiasEntreRel(med);qtDiasEntreChangedRel(med);qtDiasLastFirst;deltaLOC(qtd);deltaSLOC(qtd);deltaMIF;deltaMIT;deltaDiff;deltaEff;deltaTimeH;deltaBug;deltaFiles(qtd);totalFiles(qtd)(med)
dpkp/kafka-python;2012-09-24;0;0;0;32;32;31;0;91,95;24,5;19,0;2010;23350;15429;6,38;2,15;62,83;27,02;27,02;-0,26;106;117,5
dschep/ntfy;2015-12-17;0;0;0;26;26;20;1;91,7;6,0;13,0;533;2616;1860;-34,71;-18,64;0,5;5,07;0,28;0,0;33;24,0
dylanaraps/pywal;2017-06-16;7;0;0;71;78;53;0;78,9;1,0;2,0;574;1166;728;-15,64;-16,48;0,0;9,54;9,54;-1,85;15;19,0
eastlakeside/interpy-zh;2015-09-21;0;0;2;3;5;1;2;25,9;56,0;7,0;76;98;71;0,0;31,81;-100,0;-100,0;-100,0;-100,0;26;27,0
edgedb/edgedb;2017-06-29;2;0;0;1;3;0;0;97,5;292,0;nan;76;0;0;0;0;0;0;0;0;0;357,0
eliangcs/http-prompt;2016-04-06;0;0;0;15;15;13;0;80,6;40,0;60,0;779;971;828;-6,38;-20,21;-25,0;36,25;36,25;17,4;6;32,0
Eloston/ungoogled-chromium;2015-06-12;0;0;4;22;26;18;0;90,6;23,5;15,0;707;3776;2322;1,5;7,47;-51,79;-54,99;-54,99;-34,31;26;27,0
emre/storm;2013-05-20;0;0;0;6;6;5;0;92,3;215,0;252,0;1744;858;619;-15,07;-8,86;221,89;566,64;566,64;178,62;2;13,0
encode/django-rest-framework;2011-03-02;0;0;0;13;13;11;0;91,9;21,0;10,0;570;3438;2465;2,67;0,64;-7,02;6,04;6,04;23,39;13;137,0
encode/httpx;2019-04-04;0;0;0;11;11;10;0;89,8;6,0;6,0;274;1411;1041;-11,56;-10,54;52,81;31,63;31,63;55,12;-10;49,0
encode/uvicorn;2017-05-31;0;0;0;2;2;1;0;87,2;532,0;1,0;1;-36;-27;1,42;-1,98;0,0;1,48;1,48;0,0;-1;62,5
EpistasisLab/tpot;2015-11-03;0;0;0;22;22;21;6;97,7;58,0;58,0;1673;8320;4948;-20,98;0,47;14,29;-49,13;-49,13;-35,05;81;45,0
equinusocio/material-theme;2015-06-01;0;6;49;33;88;13;0;88,9;5,0;13,0;594;626;442;-17,73;-0,43;-42,55;-93,85;-93,85;-80,37;7;9,0
espressif/esptool;2014-09-06;0;0;0;20;20;15;0;84,0;60,5;72,0;1280;7421;4911;-39,8;-38,35;1365,45;176258,45;176258,45;11934,39;25;25,0
eternnoir/pyTelegramBotAPI;2015-06-26;0;0;0;27;26;21;0;76,2;36,0;52,0;1829;1987;1308;70,75;23,51;-26,42;-79,08;-79,08;-66,88;20;21,0
evhub/coconut;2014-10-04;0;0;0;29;29;28;0;88,6;28,0;27,5;1780;5514;3720;-18,95;-12,8;300,0;6136,17;6136,17;2354,15;27;9,0
facebook/chisel;2014-02-21;0;0;0;10;10;5;0;38,1;199,5;201,0;1789;2904;2142;-14,2;-14,2;80,41;309,77;309,77;149,59;5;21,0
facebook/PathPicker;2015-05-01;0;0;0;12;12;10;0;95,65;19,5;38,0;1579;2822;2159;12,06;16,63;-77,61;-99,1;-99,1;-95,31;20;24,0
facebook/prophet;2016-11-16;0;0;0;8;8;7;0;90,3;145,5;147,0;1094;4720;2749;-21,97;-9,22;167,57;345,7;345,7;166,07;8;8,5
facebookresearch/detectron2;2019-09-05;0;0;0;4;4;3;0;99,1;43,5;27,0;100;4785;3019;-0,38;0,82;-3,85;-3,33;-3,33;-5,66;27;209,0
facebookresearch/mmf;2018-06-27;0;0;0;2;2;1;0;98,5;212,5;61,0;61;1250;878;-0,7;-0,68;0,0;0,0;0,0;1,44;11;165,5
facebookresearch/pytext;2018-07-31;0;0;0;9;9;8;0;99,4;61,0;60,5;542;32776;23746;-18,58;-15,0;200,0;2628,67;2628,67;719,33;168;268,0
facebookresearch/pytorch3d;2019-10-25;0;0;0;3;3;2;0;100,0;50,0;26,5;53;10943;6576;-1,68;-3,12;23,38;48,98;48,98;37,84;41;98,0
facebookresearch/visdom;2017-01-25;0;0;0;2;2;1;0;58,55;480,5;0,0;0;159;130;20,5;20,5;-59,43;-75,95;-75,95;-55,14;2;6,0
fail2ban/fail2ban;2011-09-28;0;0;0;24;24;22;0;73,95;94,0;94,0;2383;23433;16433;-36,36;-36,36;478,74;18013,41;18013,41;2689,82;32;71,0
fchollet/deep-learning-models;2016-08-03;0;0;0;8;8;6;0;100,0;61,5;61,5;531;2141;1164;-14,52;-8,25;112,1;387,31;387,31;123,63;6;8,0
FeatureLabs/featuretools;2017-09-08;0;0;0;49;47;39;0;88,5;23,0;26,0;1025;9599;6205;-2,37;-2,74;15,1;1,46;1,46;-12,69;62;119,0
fizyr/keras-retinanet;2017-08-14;0;0;0;6;6;5;0;83,75;80,5;70,0;521;4232;2089;-4,37;5,15;-1,01;15,29;15,29;0,0;23;61,5
flairNLP/flair;2018-06-11;0;0;0;13;12;12;0;91,7;55,0;60,0;723;14011;9600;5,59;14,09;-26,04;85,0;85,0;79,32;44;36,0
flask-admin/flask-admin;2012-03-18;0;0;0;13;13;11;0;89,6;132,0;132,0;2180;8786;6087;-1,88;-5,66;-29,63;0,0;0,0;25,74;25;137,0
flask-restful/flask-restful;2012-10-12;0;0;0;6;6;5;0;96,3;38,0;30,0;161;990;710;-11,0;-7,76;35,0;6,1;6,1;59,31;3;27,0
fmfn/BayesianOptimization;2014-06-06;0;0;0;7;7;5;0;100,0;89,0;89,0;912;1385;965;-20,29;-13,59;29,5;138,54;138,54;96,17;9;15,0
freedomofpress/securedrop;2012-01-11;1;0;0;21;22;17;0;89,8;36,0;42,0;797;14856;10715;-7,48;-5,47;24,44;19,84;19,84;6,58;61;155,0
freqtrade/freqtrade;2017-05-17;0;0;0;30;29;26;0;89,3;31,0;34,0;1006;33039;22953;-10,14;-0,87;63,64;423,39;423,39;188,22;140;91,0
frostming/legit;2011-06-25;0;0;0;7;7;5;0;90,0;414,0;414,0;1585;100;152;-18,35;-22,83;60,0;114,94;114,94;43,56;1;10,0
Gallopsled/pwntools;2013-04-29;1;0;0;39;40;34;0;70,0;20,0;21,5;2106;45166;32345;17,75;5,98;-33,33;-70,07;-70,07;-55,98;126;183,0
geex-arts/django-jet;2015-07-29;0;0;0;23;23;21;7;80,7;12,0;12,0;1137;1539;911;-30,68;-30,68;0,5;2,38;0,13;0,0;10;55,0
geopy/geopy;2010-03-04;0;0;0;32;30;30;0;98,0;15,5;16,5;2104;9139;5776;-21,94;-17,31;36,67;260,57;260,57;61,91;37;58,0
getpelican/pelican;2010-10-16;0;0;0;9;9;7;0;94,9;31,0;29,0;1039;2149;1654;12,57;-1,45;-3,29;0,0;0,0;3,49;2;39,0
getsentry/responses;2013-11-15;0;0;0;18;18;15;0;100,0;21,5;32,0;2390;1808;1335;-76,03;-66,14;972,29;25337,98;25337,98;2272,31;0;3,0
gevent/gevent;2012-09-13;0;0;0;21;21;20;0;79,7;28,0;27,5;1454;58240;41641;-2,23;-0,8;59,52;261,38;261,38;78,22;116;276,0
golemfactory/golem;2015-11-18;0;0;0;37;37;36;0;76,4;35,0;34,5;1177;59728;45888;11,05;11,22;-31,71;-35,88;-35,88;-29,17;375;601,0
google/clusterfuzz;2019-01-29;8;0;0;10;17;9;0;99,7;35,5;36,0;509;33991;21864;-1,54;-2,15;100,0;122,66;122,66;29,25;102;561,0
google/python-fire;2017-02-21;0;0;0;7;7;6;0;89,7;100,0;139,0;1052;6460;3571;-0,76;-6,31;125,88;993,11;993,11;355,46;21;58,0
google/trax;2019-10-05;0;0;0;6;6;4;0;91,5;44,0;46,0;147;12483;7774;-2,12;-1,98;18,44;61,96;61,96;64,25;56;139,0
googleapis/google-api-python-client;2014-01-08;0;0;0;36;36;32;0;95,2;29,0;29,0;1735;2861;2049;-1,49;-1,5;0,0;0,0;0,0;0,0;-2;79,0
googlefonts/roboto;2015-04-11;0;0;0;8;8;6;0;43,1;56,0;44,5;519;99;40;0,59;-1,18;1,44;27,02;27,02;-1,13;0;51,0
googlemaps/google-maps-services-python;2014-08-15;0;0;0;14;14;11;0;100,0;15,5;15,0;273;1015;753;-2,07;-0,95;0,0;27,82;27,82;13,2;2;27,0
gorakhargosh/watchdog;2010-10-23;0;0;0;9;9;8;0;100,0;5,0;2,5;196;517;485;3,98;3,67;-2,78;-15,84;-15,84;28,57;6;51,0
graphql-python/graphene-django;2016-09-17;0;0;0;29;28;27;29;82,4;25,0;27,0;1320;5518;4206;0,0;0,0;0,0;0,0;0,0;0,0;54;129,0
graphql-python/graphene;2015-09-24;0;0;0;46;46;42;0;86,0;16,0;16,0;1700;7181;4038;-7,19;8,1;0,0;66,73;66,73;18,96;55;127,0
Guake/guake;2012-05-15;0;0;0;54;54;42;0;89,25;12,0;18,0;2040;8907;6395;3,75;-12,54;233,33;3921,08;3921,08;1106,33;26;25,5
guardicore/monkey;2015-08-30;0;0;0;9;9;8;0;90,1;149,0;94,5;817;15393;11271;35,51;47,48;-67,74;-95,6;-95,6;-85,3;314;129,0
gunthercox/ChatterBot;2014-09-28;0;0;0;84;84;77;78;89,2;10,0;11,0;2028;12820;8343;37,84;31,82;-100,0;-100,0;-100,0;-100,0;123;132,0
hankcs/HanLP;2014-10-09;0;0;49;1;50;0;1;100,0;37,0;nan;2028;0;0;0;0;0;0;0;0;0;148,0
hanxiao/bert-as-service;2018-11-12;0;0;0;10;10;9;0;95,35;4,5;5,0;78;1639;970;21,29;21,29;-40,0;-75,43;-75,43;-67,86;14;21,5
harelba/q;2012-01-30;0;0;0;10;10;3;10;100,0;23,5;54,0;1883;24;21;0,0;0,0;0,0;0,0;0,0;0,0;2;2,0
healthchecks/healthchecks;2015-06-25;0;0;0;20;20;19;20;91,3;41,0;41,0;1165;8763;6443;0,0;0,0;0,0;0,0;0,0;0,0;136;241,0
HelloZeroNet/ZeroNet;2015-01-12;1;0;0;21;22;20;0;51,0;38,0;38,0;1341;19494;15913;-18,54;-18,26;52,32;419,82;419,82;105,0;48;260,0
hhatto/autopep8;2010-12-29;0;0;0;11;11;5;0;60,3;75,0;140,0;933;-2;-3;1,06;1,06;0,0;-31,94;-31,94;-5,36;0;73,0
horovod/horovod;2017-08-09;0;0;0;6;6;5;0;91,4;18,0;9,0;162;3267;2029;-1,25;-1,85;21,21;62,3;62,3;30,78;14;139,0
hugapi/hug;2015-07-17;0;0;0;13;13;11;1;93,8;9,0;10,0;361;1135;755;13,17;6,94;-50,0;-50,0;-50,0;-50,0;14;127,0
huge-success/sanic;2016-05-26;0;0;0;30;27;26;0;99,6;23,0;30,5;1345;16586;11520;-18,94;-18,17;151,13;284,49;284,49;189,15;84;88,5
huggingface/transformers;2018-10-29;0;0;0;33;30;31;0;97,9;11,0;13,0;597;112428;74460;-8,74;-3,96;-21,66;-57,15;-57,15;-39,07;314;166,0
